CAMSID,AARTFAAC,AARTFAAC_duration
49,0,
50,2,2
51,0,
52,1,42
53,0,
54,1,6
55,0,
56,0,
57,2,14
58,2,14
59,1,6
60,2,22
61,0,
62,0,
63,0,
64,0,
65,2,8
66,1,6
67,0,
68,0,
69,0,
70,1,2
71,1,2
72,1,2
74,2,10
75,2,30
76,2,2
77,3,132
78,0,
79,0,
80,0,
81,0,
82,1,4
83,0,
86,0,
87,0,
92,2,4
93,1,2
94,0,
100,0,
101,1,4
102,2,6
103,2,4
109,0,
115,2,4
116,0,
123,3,84
126,0,
127,0,
128,2,4
132,0,
133,0,
134,0,
141,0,
142,1,52
143,1,2
144,2,4
145,1,2
146,2,16
147,2,22
148,2,1
149,0,
150,0,
151,2,28
152,0,
153,0,
154,2,22
155,0,
160,1,2
161,0,
162,0,
163,0,
164,0,
166,0,
167,0,
168,0,
169,0,
170,0,
171,1,2
172,1,2
173,0,
174,0,
175,3,10
176,0,
177,0,
178,1,2
179,1,2
235,2,8
236,0,
237,0,
238,0,
239,0,
240,0,
241,3,122
242,0,
243,0,
244,0,
245,0,
246,0,
247,0,
248,0,
249,2,30
250,0,
251,0,
252,0,
253,2,8
254,3,60
255,1,8
256,1,2
257,0,
258,0,
259,0,
260,0,
261,0,
262,0,
263,1,4
264,0,
265,0,
266,0,
267,0,
268,0,
269,0,
270,1,28
271,0,
272,0,
273,0,
274,0,
275,0,
276,2,4
277,2,22
278,1,6
279,1,2
280,1,2
281,0,
282,0,
283,2,40
284,1,2
285,1,34
286,0,
287,1,2
288,1,16
289,0,
290,0,
291,0,
292,0,
293,0,
294,0,
295,1,8
296,1,10
297,1,4
298,0,
299,0,
301,0,
302,0,
303,0,
305,0,
306,0,
307,0,
308,0,
309,3,90
310,0,
311,0,
312,0,
313,0,
314,0,
315,1,6
316,1,2
317,2,6
318,0,
319,2,108
320,1,4
321,0,
322,1,4
323,1,6
324,0,
325,1,
326,0,
327,1,10
328,0,
329,1,6
330,0,
331,0,
332,2,34
333,3,18
342,0,
343,0,
344,1,26
345,0,
346,1,2
347,0,
348,0,
349,0,
350,0,
351,2,6
352,3,396
353,2,40
354,0,
355,0,
356,0,
357,0,
358,0,
359,0,
360,2,20
361,1,4
362,1,2
363,0,
364,0,
365,0,
361,1,2
367,0,
368,1,3
369,2,16
370,1,6
371,0,
372,0,
373,1,2
374,1,10
375,0,
376,0,
377,1,14
378,0,
379,0,
380,0,
381,0,
382,0,
383,0,
384,0,
385,1,14
386,0,
387,0,
388,0,
389,0,
390,0,
391,1,4
392,0,
393,1,4
395,0,
396,0,
397,0,
398,0,
399,0,
400,0,
402,0,
403,0,
404,1,4
405,0,
406,0,
407,0,
408,2,4
409,0,
410,0,
411,2,4
412,0,
413,0,
414,0,
415,0,
416,1,2
417,2,10
418,1,4
419,2,26
420,0,
421,0,
422,0,
423,0,
424,0,
425,0,
426,0,
427,0,
428,0,
429,0,
430,0,
431,0,
432,0,
434,0,
435,0,
436,2,16
437,1,6
438,1,2
439,0,
440,2,60
441,0,
442,0,
443,0,
444,0,
445,0,
446,1,2
447,2,12
448,1,2
449,0,
450,0,
451,0,
452,1,4
453,0,
454,1,6
455,1,2
456,1,2
457,0,
458,0,
459,0,
460,0,
461,0,
462,0,
463,1,2
464,0,
465,0,
466,0,
467,0,
468,0,
469,0,
470,0,
471,1,4
472,0,
473,0,
474,0,
475,0,
476,0,
477,0,
478,1,2
479,0,
480,1,36
481,1,2
482,0,
483,0,
484,1,44
485,1,6
486,1,2
487,0,
488,0,
489,1,8
490,1,2
491,2,12
492,3,60
493,0,
494,0,
495,2,38
496,0,
497,1,4
498,0,
499,0,
500,0,
501,2,10
502,0,
503,0,
504,0,
505,2,4
506,0,
507,1,4
508,0,
509,1,4
510,0,
511,1,2
512,0,
513,0,
514,2,14
515,2,14
516,1,4
517,1,26
518,0,
519,0,
520,0,
522,0,
523,0,
524,1,6
525,0,
526,0,
527,3,94
528,3,94
529,2,32
530,0,
531,0,
532,0,
533,0,
534,0,
535,1,6
536,1,2
537,1,24
538,0,
539,0,
540,0,
541,0,
542,0,
543,0,
544,0,
545,2,30
546,1,2
547,0,
548,2,2
549,2,40
551,0,
552,0,
553,0,
554,2,26
555,0,
556,1,22
557,0,
558,0,
559,0,
560,0,
561,1,4
563,0,
564,0,
565,2,26
566,0,
567,0,
568,0,
569,0,
570,0,
571,0,
572,0,
573,1,12
574,0,
575,0,
576,0,
577,0,
578,0,
579,1,12
580,0,
581,0,
582,0,
583,0,
584,0,
586,0,
587,0,
588,0,
589,1,6
590,0,
591,1,2
592,0,
593,0,
594,0,
595,0,
596,1,10
598,2,26
599,0,
600,1,30
601,2,28
602,0,
603,1,2
604,0,
605,1,42
606,0,
607,0,
608,0,
609,0,
610,0,
611,0,
612,2,32
613,0,
614,1,26
615,0,
616,1,13
617,1,52
618,0,
619,0,
620,0,
621,0,
622,1,2
623,0,
624,0,
625,0,
626,0,
627,0,
628,0,
629,0,
631,0,
632,0,
633,0,
634,0,
635,2,34
636,0,
637,0,
638,2,12
639,2,26
640,0,
641,1,8
642,0,
643,1,52
644,2,50
645,1,52
646,0,
647,2,14
648,0,
649,0,
650,0,
651,0,
652,0,
653,0,
654,0,
655,0,
656,0,
657,0,
658,0,
659,1,6
660,0,
661,2,26
662,0,
663,0,
664,0,
665,0,
666,0,
667,0,
668,0,
669,0,
670,0,
671,2,44
672,0,
673,0,
675,1,2
677,1,10
678,1,2
679,1,8
680,0,
681,0,
682,1,2
683,2,12
684,0,
686,0,
687,0,
688,1,16
689,1,2
690,1,2
692,1,6
693,0,
694,0,
695,0,
696,2,14
697,0,
698,2,122
699,0,
700,0,
701,0,
702,2,18
703,0,
704,3,18
705,1,16
706,1,26
707,1,10
708,0,
709,0,
710,0,
711,0,
712,1,1
713,0,
714,2,10
715,1,0
716,2,108
717,0,
718,1,62
719,1,8
720,0,
721,0,
723,1,42
724,1,2
726,1,8
727,0,
728,1,2
729,1,18
730,0,
731,1,2
732,2,72
733,1,2
734,0,
735,1,36
736,1,6
737,1,20
